long,latt,name,address,node
-115.24212,36.179411,Subway,"602 N Rainbow Blvd, Las Vegas, NV, 89107",5710990027
-115.225084,36.114276,Subway,"6105 W Flamingo Rd, Las Vegas, NV, 89103",5508896718
-115.226083,36.099742,Subway,"6125 W Tropicana Ave, Las Vegas, NV, 89103",5509054469
-115.225339,36.159414,Subway,"6150 W Charleston Blvd, Las Vegas, NV, 89146",137706268
-115.242815,36.076512,Subway,"6181 S Rainbow Blvd, Las Vegas, NV, 89118",5509046561
-115.263505,36.27915,Subway,"6440 Sky Point Dr, Las Vegas, NV, 89131",5518108723
-115.206954,36.275021,Subway,"6475 N Decatur Blvd, Las Vegas, NV, 89130",4817076141
-115.101019,36.071847,Subway,"6495 S Pecos Road, Las Vegas, NV, 89120",137706449
-115.032859,36.08459,Subway,"6500 Boulder Highway, Las Vegas, NV, 89122",137423570
-115.030222,36.195886,Subway,"6520 E Lake Meade Blvd, Las Vegas, NV, 89156",5173746701
-115.297961,36.06949,Subway,"6525 S Fort Apache Rd, Las Vegas, NV, 89148",5511420923
-115.23934,36.217831,Subway,"6621 W Cheyenne Ave, Las Vegas, NV, 89108",5509511166
-115.287662,36.283984,Subway,"6770 Durango Drive, Las Vegas, NV, 89149",5516906375
-115.242236,36.125857,Subway,"6870 Spring Mountain Rd, Las Vegas, NV, 89102",5506412966
-115.118682,36.06557,Subway,"6889 S Eastern Ave, Las Vegas, NV, 89119",5515087343
-115.244323,36.099839,Subway,"6980 West Tropicana Ave, Las Vegas, NV, 89147",5509054891
-115.249731,36.240323,Subway,"7121 W Craig Rd, Las Vegas, NV, 89129",5512217506
-115.315187,36.291538,Subway,"7171 N. Hualapai Way, Las Vegas, NV, 89149",5516907215
-115.242876,36.055332,Subway,"7320 S Rainbow Blvd, Las Vegas, NV, 89139",2759336896
-115.225186,36.054899,Subway,"7377 S Jones Blvd, Las Vegas, NV, 89139",2760019720
-115.206164,36.164582,Subway,"740 S Decatur, Las Vegas, NV, 89107",4842737595
-115.279387,36.05274,Subway,"7425 S Durango Dr, Las Vegas, NV, 89148",5711250267
-115.156255,36.164673,Subway,"755 S Grand Central Pkwy, Las Vegas, NV, 89106",5711158823
-115.172194,36.051248,Subway,"7620 S Las Vegas Blvd, Las Vegas, NV, 89123",454065345
-115.261859,36.218411,Subway,"7660 W Cheyenne Ave, Las Vegas, NV, 89129",5512216335
-115.265616,36.143998,Subway,"8000 W Sahara Ave, Las Vegas, NV, 89117",5818742456
-115.186856,36.044238,Subway,"8050 Dean Martin Dr, Las Vegas, NV, 89139",5509063105
-115.270099,36.05556,Subway,"8110 W Warm Springs Blvd, Las Vegas, NV, 89113",137706710
-115.172244,36.041153,Subway,"8164 Las Vegas Blvd, Las Vegas, NV, 89123",5711243210
-115.118118,36.040895,Subway,"8170 South Eastern, Las Vegas, NV, 89123",3575400309
-115.177964,36.180042,Subway,"830 N Rancho Dr, Las Vegas, NV, 89106",5788848622
-115.280005,36.2994,Subway,"8430 W Farm Rd, Las Vegas, NV, 89131",2243606990
-115.280169,36.100227,Subway,"8650 West Tropicana Ave, Las Vegas, NV, 89147",5711074820
-115.136024,36.030173,Subway,"8790 South Maryland Parkway, Las Vegas, NV, 89123",5509247465
-115.293785,36.144078,Subway,"9031 West Sahara Ave, Las Vegas, NV, 89117",5711072370
-115.296625,36.218777,Subway,"9196 W Cheyenne Ave, Las Vegas, NV, 89128",5509509471
-115.270421,36.019366,Subway,"9265 S Cimarron Rd, Las Vegas, NV, 89178",5508118842
-115.295796,36.115067,Subway,"9360 W Flamingo Rd, Las Vegas, NV, 89147",5503634031
-115.136966,36.010726,Subway,"9845 S Maryland Pkwy, Las Vegas, NV, 89123",5901337996
-115.149138,36.085525,Subway,"C Gate McCarran Int Airport, Las Vegas, NV, 89111",4538984240
-115.14632,36.171509,Subway,"One South Main St, Las Vegas, NV, 89125",3813314954
-115.177543,36.285721,Subway,"6885 Aliante Parkway, N Las Vegas, NV, 89084",4208824392
-115.118477,36.217623,Subway,"2265 Cheyenne Avenue, North Las Vegas, NV, 89030",5851001667
-115.116133,36.240032,Subway,"2546 E Craig Rd, North Las Vegas, NV, 89030",5534608424
-115.109291,36.208134,Subway,"2668 North Las Vegas Blvd, North Las Vegas, NV, 89030",5483724476
-115.179368,36.239639,Subway,"2816 W Craig Rd, North Las Vegas, NV, 89030",5513681535
-115.182013,36.261711,Subway,"3030 W Ann Rd, North Las Vegas, NV, 89031",5512410055
-115.192755,36.199879,Subway,"3950 W Lake Mead Blvd, North Las Vegas, NV, 89032",5788688096
-115.097349,36.239588,Subway,"4375 N Pecos Rd, North Las Vegas, NV, 89030",5534608851
-115.15487,36.260302,Subway,"5546 Camino Al Norte, North Las Vegas, NV, 89031",5096983700
-115.179646,36.275264,Subway,"6360 Simmons St., North Las Vegas, NV, 89031",5512410390
