date,open,close,Name
2015-01-02,111.39,109.33,AAPL
2015-01-05,108.29,106.25,AAPL
2015-01-06,106.54,106.26,AAPL
2015-01-07,107.2,107.75,AAPL
2015-01-08,109.23,111.89,AAPL
2015-01-09,112.67,112.01,AAPL
2015-01-12,112.6,109.25,AAPL
2015-01-13,111.43,110.22,AAPL
2015-01-14,109.04,109.8,AAPL
2015-01-15,110.0,106.82,AAPL
2015-01-16,107.03,105.99,AAPL
2015-01-20,107.84,108.72,AAPL
2015-01-21,108.95,109.55,AAPL
2015-01-22,110.26,112.4,AAPL
2015-01-23,112.3,112.98,AAPL
2015-01-26,113.74,113.1,AAPL
2015-01-27,112.42,109.14,AAPL
2015-01-28,117.625,115.31,AAPL
2015-01-29,116.32,118.9,AAPL
2015-01-30,118.4,117.16,AAPL
2015-02-02,118.05,118.63,AAPL
2015-02-03,118.5,118.65,AAPL
2015-02-04,118.5,119.56,AAPL
2015-02-05,120.02,119.94,AAPL
2015-02-06,120.02,118.93,AAPL
2015-02-09,118.55,119.72,AAPL
2015-02-10,120.17,122.02,AAPL
2015-02-11,122.77,124.88,AAPL
2015-02-12,126.06,126.46,AAPL
2015-02-13,127.28,127.08,AAPL
2015-02-17,127.49,127.83,AAPL
2015-02-18,127.625,128.715,AAPL
2015-02-19,128.48,128.45,AAPL
2015-02-20,128.62,129.495,AAPL
2015-02-23,130.02,133.0,AAPL
2015-02-24,132.94,132.17,AAPL
2015-02-25,131.56,128.79,AAPL
2015-02-26,128.785,130.415,AAPL
2015-02-27,130.0,128.46,AAPL
2015-03-02,129.25,129.09,AAPL
2015-03-03,128.96,129.36,AAPL
2015-03-04,129.1,128.54,AAPL
2015-03-05,128.58,126.41,AAPL
2015-03-06,128.4,126.6,AAPL
2015-03-09,127.96,127.14,AAPL
2015-03-10,126.41,124.51,AAPL
2015-03-11,124.75,122.24,AAPL
2015-03-12,122.31,124.45,AAPL
2015-03-13,124.4,123.59,AAPL
2015-03-16,123.88,124.95,AAPL
2015-03-17,125.9,127.04,AAPL
2015-03-18,127.0,128.47,AAPL
2015-03-19,128.75,127.495,AAPL
2015-03-20,128.25,125.9,AAPL
2015-03-23,127.12,127.21,AAPL
2015-03-24,127.23,126.69,AAPL
2015-03-25,126.54,123.38,AAPL
2015-03-26,122.76,124.24,AAPL
2015-03-27,124.57,123.25,AAPL
2015-03-30,124.05,126.37,AAPL
2015-03-31,126.09,124.43,AAPL
2015-04-01,124.82,124.25,AAPL
2015-04-02,125.03,125.32,AAPL
2015-04-06,124.47,127.35,AAPL
2015-04-07,127.64,126.01,AAPL
2015-04-08,125.85,125.6,AAPL
2015-04-09,125.85,126.56,AAPL
2015-04-10,125.95,127.1,AAPL
2015-04-13,128.37,126.85,AAPL
2015-04-14,127.0,126.3,AAPL
2015-04-15,126.41,126.78,AAPL
2015-04-16,126.28,126.17,AAPL
2015-04-17,125.55,124.75,AAPL
2015-04-20,125.57,127.6,AAPL
2015-04-21,128.1,126.91,AAPL
2015-04-22,126.99,128.62,AAPL
2015-04-23,128.3,129.67,AAPL
2015-04-24,130.49,130.28,AAPL
2015-04-27,132.31,132.65,AAPL
2015-04-28,134.455,130.56,AAPL
2015-04-29,130.16,128.64,AAPL
2015-04-30,127.5,125.15,AAPL
2015-05-01,126.1,128.95,AAPL
2015-05-04,129.5,128.7,AAPL
2015-05-05,128.15,125.8,AAPL
2015-05-06,126.56,125.01,AAPL
2015-05-07,124.77,125.26,AAPL
2015-05-08,126.68,127.62,AAPL
2015-05-11,127.39,126.32,AAPL
2015-05-12,125.6,125.865,AAPL
2015-05-13,126.15,126.01,AAPL
2015-05-14,127.41,128.95,AAPL
2015-05-15,129.07,128.77,AAPL
2015-05-18,128.38,130.19,AAPL
2015-05-19,130.69,130.07,AAPL
2015-05-20,130.0,130.06,AAPL
2015-05-21,130.07,131.39,AAPL
2015-05-22,131.6,132.54,AAPL
2015-05-26,132.6,129.62,AAPL
2015-05-27,130.34,132.045,AAPL
2015-05-28,131.86,131.78,AAPL
2015-05-29,131.23,130.28,AAPL
2015-06-01,131.2,130.535,AAPL
2015-06-02,129.86,129.96,AAPL
2015-06-03,130.66,130.12,AAPL
2015-06-04,129.58,129.36,AAPL
2015-06-05,129.5,128.65,AAPL
2015-06-08,128.9,127.8,AAPL
2015-06-09,126.7,127.42,AAPL
2015-06-10,127.92,128.88,AAPL
2015-06-11,129.18,128.59,AAPL
2015-06-12,128.185,127.17,AAPL
2015-06-15,126.1,126.92,AAPL
2015-06-16,127.03,127.6,AAPL
2015-06-17,127.72,127.3,AAPL
2015-06-18,127.23,127.88,AAPL
2015-06-19,127.71,126.6,AAPL
2015-06-22,127.49,127.61,AAPL
2015-06-23,127.48,127.03,AAPL
2015-06-24,127.21,128.11,AAPL
2015-06-25,128.86,127.5,AAPL
2015-06-26,127.67,126.75,AAPL
2015-06-29,125.46,124.53,AAPL
2015-06-30,125.57,125.425,AAPL
2015-07-01,126.9,126.6,AAPL
2015-07-02,126.43,126.44,AAPL
2015-07-06,124.94,126.0,AAPL
2015-07-07,125.89,125.69,AAPL
2015-07-08,124.48,122.57,AAPL
2015-07-09,123.85,120.07,AAPL
2015-07-10,121.94,123.28,AAPL
2015-07-13,125.03,125.66,AAPL
2015-07-14,126.04,125.61,AAPL
2015-07-15,125.72,126.82,AAPL
2015-07-16,127.74,128.51,AAPL
2015-07-17,129.08,129.62,AAPL
2015-07-20,130.97,132.07,AAPL
2015-07-21,132.85,130.75,AAPL
2015-07-22,121.99,125.22,AAPL
2015-07-23,126.2,125.16,AAPL
2015-07-24,125.32,124.5,AAPL
2015-07-27,123.09,122.77,AAPL
2015-07-28,123.38,123.38,AAPL
2015-07-29,123.15,122.99,AAPL
2015-07-30,122.32,122.37,AAPL
2015-07-31,122.6,121.3,AAPL
2015-08-03,121.5,118.44,AAPL
2015-08-04,117.42,114.64,AAPL
2015-08-05,112.95,115.4,AAPL
